Time,Humidity(%),Temperature(C)
00:30:58,76,31
01:01:07,76,32
01:31:09,76,32
02:01:11,77,32
02:31:14,77,32
03:01:16,76,32
03:31:18,76,31
04:01:20,76,31
04:31:22,76,31
05:01:24,76,31
05:31:26,76,31
06:01:28,75,31
06:31:30,76,31
07:01:32,75,31
07:31:34,77,31
08:01:37,77,31
08:31:39,77,32
09:01:42,77,32
09:31:44,78,31
10:01:47,78,31
10:31:49,78,31
11:01:51,78,31
11:31:53,78,32
12:01:55,77,32
12:31:57,77,32
13:01:59,77,32
13:32:02,77,32
14:02:04,76,32
14:32:06,76,32
15:02:08,76,32
15:32:10,76,32
16:02:12,75,32
16:32:14,75,32
17:02:16,75,32
17:32:18,75,32
18:02:22,75,32
18:32:24,75,32
19:02:26,75,32
19:32:28,75,32
20:02:30,75,32
20:32:33,75,32
21:02:36,75,32
21:32:38,71,31
22:02:40,73,31
22:32:46,73,31
23:02:48,72,31
23:32:50,75,31
