Time: 2018-10-01 00:47:34, Humidity: 76%,  Temperature: 31C`
Time: 2018-10-01 01:47:38, Humidity: 75%,  Temperature: 31C`
Time: 2018-10-01 02:47:42, Humidity: 78%,  Temperature: 32C`
Time: 2018-10-01 03:47:46, Humidity: 79%,  Temperature: 31C`
Time: 2018-10-01 04:47:50, Humidity: 77%,  Temperature: 31C`
Time: 2018-10-01 05:47:54, Humidity: 76%,  Temperature: 31C`
Time: 2018-10-01 06:47:58, Humidity: 76%,  Temperature: 31C`
Time: 2018-10-01 07:48:02, Humidity: 77%,  Temperature: 31C`
Time: 2018-10-01 08:48:08, Humidity: 77%,  Temperature: 31C`
Time: 2018-10-01 09:48:12, Humidity: 78%,  Temperature: 31C`
Time: 2018-10-01 10:48:16, Humidity: 78%,  Temperature: 31C`
Time: 2018-10-01 11:48:20, Humidity: 78%,  Temperature: 31C`
Time: 2018-10-01 12:48:25, Humidity: 78%,  Temperature: 31C`
Time: 2018-10-01 13:48:29, Humidity: 77%,  Temperature: 31C`
Time: 2018-10-01 14:48:32, Humidity: 77%,  Temperature: 31C`
Time: 2018-10-01 15:48:35, Humidity: 77%,  Temperature: 31C`
Time: 2018-10-01 16:48:39, Humidity: 76%,  Temperature: 31C`
Time: 2018-10-01 17:48:42, Humidity: 76%,  Temperature: 32C`
Time: 2018-10-01 18:48:46, Humidity: 76%,  Temperature: 32C`
Time: 2018-10-01 19:48:49, Humidity: 76%,  Temperature: 32C`
Time: 2018-10-01 20:48:53, Humidity: 76%,  Temperature: 31C`
Time: 2018-10-01 21:49:00, Humidity: 70%,  Temperature: 31C`
Time: 2018-10-01 22:49:04, Humidity: 72%,  Temperature: 31C`
Time: 2018-10-01 23:49:08, Humidity: 76%,  Temperature: 31C`
