Time: 2018-09-23 00:27:58, Humidity: 84%,  Temperature: 29C`
Time: 2018-09-23 01:28:03, Humidity: 84%,  Temperature: 29C`
Time: 2018-09-23 02:28:07, Humidity: 83%,  Temperature: 29C`
Time: 2018-09-23 03:28:11, Humidity: 85%,  Temperature: 29C`
Time: 2018-09-23 04:28:16, Humidity: 87%,  Temperature: 29C`
Time: 2018-09-23 05:28:20, Humidity: 87%,  Temperature: 29C`
Time: 2018-09-23 06:28:24, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-23 07:28:28, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-23 08:28:32, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-23 09:28:37, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-23 10:28:41, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-23 11:28:46, Humidity: 88%,  Temperature: 29C`
Time: 2018-09-23 12:28:50, Humidity: 87%,  Temperature: 29C`
Time: 2018-09-23 13:28:55, Humidity: 75%,  Temperature: 29C`
Time: 2018-09-23 14:28:59, Humidity: 67%,  Temperature: 29C`
Time: 2018-09-23 15:29:03, Humidity: 70%,  Temperature: 29C`
Time: 2018-09-23 16:29:07, Humidity: 71%,  Temperature: 30C`
Time: 2018-09-23 17:29:11, Humidity: 71%,  Temperature: 30C`
Time: 2018-09-23 18:29:15, Humidity: 73%,  Temperature: 30C`
Time: 2018-09-23 19:29:19, Humidity: 74%,  Temperature: 30C`
Time: 2018-09-23 20:29:23, Humidity: 80%,  Temperature: 31C`
Time: 2018-09-23 21:29:28, Humidity: 80%,  Temperature: 31C`
Time: 2018-09-23 22:29:32, Humidity: 80%,  Temperature: 30C`
Time: 2018-09-23 23:29:36, Humidity: 81%,  Temperature: 30C`
