Time: 2018-09-30 00:39:45, Humidity: 76%,  Temperature: 31C`
Time: 2018-09-30 01:39:49, Humidity: 76%,  Temperature: 31C`
Time: 2018-09-30 02:39:53, Humidity: 76%,  Temperature: 31C`
Time: 2018-09-30 03:39:58, Humidity: 78%,  Temperature: 31C`
Time: 2018-09-30 04:40:03, Humidity: 78%,  Temperature: 31C`
Time: 2018-09-30 05:40:07, Humidity: 77%,  Temperature: 31C`
Time: 2018-09-30 06:40:11, Humidity: 78%,  Temperature: 31C`
Time: 2018-09-30 07:40:15, Humidity: 78%,  Temperature: 31C`
Time: 2018-09-30 08:40:19, Humidity: 78%,  Temperature: 31C`
Time: 2018-09-30 09:40:24, Humidity: 80%,  Temperature: 31C`
Time: 2018-09-30 10:40:29, Humidity: 77%,  Temperature: 31C`
Time: 2018-09-30 11:40:35, Humidity: 74%,  Temperature: 31C`
Time: 2018-09-30 12:40:40, Humidity: 74%,  Temperature: 31C`
Time: 2018-09-30 13:40:44, Humidity: 72%,  Temperature: 31C`
Time: 2018-09-30 14:40:48, Humidity: 76%,  Temperature: 31C`
Time: 2018-09-30 15:40:52, Humidity: 74%,  Temperature: 31C`
Time: 2018-09-30 16:40:56, Humidity: 73%,  Temperature: 31C`
Time: 2018-09-30 17:41:00, Humidity: 72%,  Temperature: 31C`
Time: 2018-09-30 18:41:04, Humidity: 70%,  Temperature: 32C`
Time: 2018-09-30 19:41:08, Humidity: 69%,  Temperature: 32C`
Time: 2018-09-30 20:41:23, Humidity: 70%,  Temperature: 32C`
Time: 2018-09-30 21:47:22, Humidity: 69%,  Temperature: 32C`
Time: 2018-09-30 22:47:26, Humidity: 73%,  Temperature: 32C`
Time: 2018-09-30 23:47:30, Humidity: 74%,  Temperature: 31C`
